seed patch,detected target,buggy function,spec_target,spec_predicate,generated_query,localization_error,candidate_count,expected_function_found
07161b2416f7,usbnet_get_endpoints,ax88172_bind,A call to function usbnet_get_endpoints,The return value must be checked for error before proceeding.,'usbnet_get_endpoints();',,23,True
07161b2416f7,usbnet_get_endpoints,ax88178_bind,A call to function usbnet_get_endpoints,The return value must be checked for error before proceeding.,'usbnet_get_endpoints();',,23,True
07161b2416f7,usbnet_get_endpoints,ax88772_bind,A call to function usbnet_get_endpoints,The return value must be checked for error before proceeding.,'usbnet_get_endpoints();',,23,True
10d6bdf53290,bus_find_device_by_name,qm_get_qos_value,A call to bus_find_device_by_name() that returns a device reference,"The returned device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the calling function","'$dev = bus_find_device_by_name(_, _, _);'",,30,True
10d6bdf53290,driver_find_device_by_of_node,altr_sysmgr_regmap_lookup_by_phandle,A call to driver_find_device_by_of_node() that acquires a reference to a device object,"The device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the function","'$dev = driver_find_device_by_of_node(_, _);'",,3,True
10d6bdf53290,driver_find_device_by_of_node,tegra_ahb_enable_smmu,A call to driver_find_device_by_of_node() that acquires a reference to a device object,"The device reference must be released with put_device() when the device is no longer needed, before all possible exit paths from the function","'$dev = driver_find_device_by_of_node(_, _);'",,3,True
10d6bdf53290,of_find_device_by_node,rzn1_dmamux_route_allocate,A call to function of_find_device_by_node,The reference must be released with put_device if the device is no longer needed.,'of_find_device_by_node(_);',,184,True
10d6bdf53290,of_find_device_by_node,tegra210_xusb_padctl_probe,A call to function of_find_device_by_node,The reference must be released with put_device if the device is no longer needed.,'of_find_device_by_node();',,184,True
42378a9ca553,krealloc,gpi_peripheral_config,A call to krealloc that returns NULL (indicating allocation failure),"The original allocation passed to krealloc must be freed with kfree before returning, if krealloc returns NULL","'$ptr = krealloc(_, _);'",,152,True
42378a9ca553,krealloc_array,cpg_mssr_reserved_init,A call to function krealloc_array,The old allocation must be freed with kfree if the new allocation fails.,'krealloc_array();',,25,True
42378a9ca553,krealloc_array,iort_rmr_alloc_sids,A call to function krealloc_array,The old allocation must be freed with kfree if the new allocation fails.,'krealloc_array();',,25,True
42378a9ca553,kvrealloc,add_marker,"A call to kvrealloc that returns NULL, indicating reallocation failure","The original allocation (the first parameter to kvrealloc) must be freed before returning or taking error recovery actions, to prevent memory leaks.","'$ptr = kvrealloc(_, _, _);'",,8,True
42378a9ca553,kvrealloc,module_frob_arch_sections,"A call to kvrealloc that returns NULL, indicating reallocation failure","The original allocation (the first parameter to kvrealloc) must be freed before returning or taking error recovery actions, to prevent memory leaks.","'$ptr = kvrealloc(_, _, _);'",,8,True
99ca0b57e49f,pci_disable_device,cdns3_pci_probe,A call to function pci_disable_device,The pci_disable_device function must not be called if the device is already disabled.,'pci_disable_device();',,834,True
99ca0b57e49f,pci_disable_device,cdnsp_pci_probe,A call to function pci_disable_device,The pci_disable_device function must not be called if the device is already disabled.,'pci_disable_device();',,834,True
a508e33956b5,of_parse_phandle,__cci_ace_get_port,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,"'$node = of_parse_phandle(_, _, _);'",,405,True
