hexsha,target,predicate,generalized_target,generalized_predicate,similar_target,spec_target,spec_predicate,reason,evidence,similarity_score
c158cf914713,A call to fwnode_get_named_child_node(),The returned fwnode handle must be released with fwnode_handle_put().,Function that acquires a reference to a firmware node,The acquired reference must be released with the corresponding put function when no longer needed.,of_fpga_mgr_get,A call to of_fpga_mgr_get(),The returned fpga_manager reference must be released with fpga_mgr_put() when no longer needed,Function acquires and returns an FPGA manager reference that must be properly released to prevent resource leaks,drivers/fpga/fpga-mgr.c:10: 'mgr = __fpga_mgr_get(mgr_dev)' - acquires manager reference; usage example shows returned manager needs lifecycle management,0.4447386264801025
c158cf914713,A call to fwnode_get_named_child_node(),The returned fwnode handle must be released with fwnode_handle_put().,Function that acquires a reference to a firmware node,The acquired reference must be released with the corresponding put function when no longer needed.,of_graph_get_remote_endpoint,A call to of_graph_get_remote_endpoint(),The returned device_node pointer must be released with of_node_put() when no longer needed,Function acquires a device_node reference via of_parse_phandle() which requires release with of_node_put(),of_graph_get_remote_endpoint calls of_parse_phandle() which increments reference count; Usage Example 1: uses __free(device_node) annotation showing automatic cleanup is needed; Usage Example 2: gets reference but doesn't show explicit release (potential leak),0.436100959777832
c158cf914713,A call to fwnode_get_named_child_node(),The returned fwnode handle must be released with fwnode_handle_put().,Function that acquires a reference to a firmware node,The acquired reference must be released with the corresponding put function when no longer needed.,request_firmware,A call to request_firmware(),The acquired firmware reference must be released with release_firmware() when no longer needed,request_firmware acquires a firmware reference that must be released with release_firmware when no longer needed,Usage Example 1: release_fw: release_firmware(*firmware_p);; Usage Example 3: release_firmware(fw);; Function allocates firmware resource via _request_firmware that requires cleanup,0.4261659383773803
c158cf914713,A call to fwnode_get_named_child_node(),The returned fwnode handle must be released with fwnode_handle_put().,Function that acquires a reference to a firmware node,The acquired reference must be released with the corresponding put function when no longer needed.,request_firmware_into_buf,A call to request_firmware_into_buf(),The acquired firmware reference must be released with release_firmware() when no longer needed.,request_firmware_into_buf acquires firmware references that must be released to prevent memory leaks,"Usage Example 1: drivers/remoteproc/qcom_q6v5_mss.c:1234: 'ret = request_firmware_into_buf(&seg_fw, fw_name, qproc->dev, ptr, phdr->p_filesz);' followed by 'release_firmware(seg_fw);'; Usage Example 2: drivers/soc/qcom/mdt_loader.c:89: 'ret = request_firmware_into_buf(&seg_fw, seg_name, dev, ptr, phdr->p_filesz);' followed by 'release_firmware(seg_fw);'; Usage Example 3: drivers/i2c/i2c-slave-eeprom.c:78: 'ret = request_firmware_into_buf(&fw, eeprom_data, &client->dev, eeprom->buffer, size);' followed by 'release_firmware(fw);'",0.4100126028060913
c158cf914713,A call to fwnode_get_named_child_node(),The returned fwnode handle must be released with fwnode_handle_put().,Function that acquires a reference to a firmware node,The acquired reference must be released with the corresponding put function when no longer needed.,fwnode_get_phy_node,A call to fwnode_get_phy_node(),The returned fwnode handle must be released with fwnode_handle_put() when no longer needed,"Function acquires firmware node references via fwnode_find_reference() calls and returns them to caller, requiring proper cleanup",fwnode_get_phy_node calls fwnode_find_reference() which acquires references; Usage Example 1: fwnode_handle_put(phy_fwnode) after use; Usage Example 2: fwnode_handle_put(phy_fwnode) with comment 'We're done with the phy_node handle',0.3926440477371216
c158cf914713,A call to fwnode_get_named_child_node(),The returned fwnode handle must be released with fwnode_handle_put().,Function that acquires a reference to a firmware node,The acquired reference must be released with the corresponding put function when no longer needed.,of_slim_get_device,A call to of_slim_get_device(),The returned slim_device reference must be released with the corresponding put function when no longer needed,"Function follows kernel 'get' naming convention indicating reference acquisition, and usage examples show devices being stored long-term without visible release calls",Function name pattern 'of_slim_get_device' suggests reference acquisition; Usage Example 1: wcd->slim_ifc_dev = of_slim_get_device(...) - stored but no visible put; Usage Example 2: wcd->sidev = of_slim_get_device(...) - stored but no visible put,0.3680850267410278
c158cf914713,A call to fwnode_get_named_child_node(),The returned fwnode handle must be released with fwnode_handle_put().,Function that acquires a reference to a firmware node,The acquired reference must be released with the corresponding put function when no longer needed.,of_map_id,A call to of_map_id() that returns a device node via the target parameter,The returned device node reference must be released with of_node_put() when no longer needed.,"Function acquires device node references via of_find_node_by_phandle() and returns them to callers through the target parameter, requiring proper reference management",drivers/of/base.c:1234: 'phandle_node = of_find_node_by_phandle(phandle);'; drivers/of/base.c:1240: '*target = phandle_node;'; usage example 1: 'of_node_put(iommu_spec.np);'; usage example 2: 'of_node_put(target);',0.3655604124069214
c158cf914713,A call to fwnode_get_named_child_node(),The returned fwnode handle must be released with fwnode_handle_put().,Function that acquires a reference to a firmware node,The acquired reference must be released with the corresponding put function when no longer needed.,of_graph_get_endpoint_by_regs,A call to of_graph_get_endpoint_by_regs(),The returned device_node pointer must be released with of_node_put() when no longer needed,Function returns a device_node with incremented reference count that must be released,Usage Example 1: 'of_node_put(dsi_out);' - caller releases the returned endpoint node; Usage Example 2: 'of_node_put(dsi_in);' - caller releases the returned endpoint node; Usage Example 3: 'of_node_put(endpoint_node);' - caller releases the returned endpoint node; All usage examples consistently call of_node_put() on the returned node,0.3632814884185791
c158cf914713,A call to fwnode_get_named_child_node(),The returned fwnode handle must be released with fwnode_handle_put().,Function that acquires a reference to a firmware node,The acquired reference must be released with the corresponding put function when no longer needed.,drm_syncobj_get,A call to drm_syncobj_get(),The acquired syncobj reference must be released with drm_syncobj_put() when no longer needed.,"drm_syncobj_get acquires a reference to a DRM sync object by incrementing its reference count, and the usage examples show it must be paired with drm_syncobj_put to release the reference",drm_syncobj.c:1: 'kref_get(&obj->refcount)' - increments reference count; usage example 2: 'drm_syncobj_put(syncobj)' - shows corresponding put function; usage example 1: drm_syncobj_find returns object with acquired reference that caller must release; usage example 3: drm_syncobj_get called before storing object in file descriptor,0.3544158935546875
fa0308134d26,A call to dma_map_single for DMA memory mapping,The returned DMA address must be checked using dma_mapping_error before being used.,function that performs DMA memory mapping,The returned DMA address must be checked using dma_mapping_error before being used or processed further.,__skb_frag_dma_map,The __skb_frag_dma_map function that maps SKB fragments for DMA,The returned DMA address must be checked using dma_mapping_error before being used or processed further,"This function performs DMA memory mapping and returns a DMA address that could fail, requiring error checking before use",function returns dma_addr_t from dma_map_page() which can fail; dma_map_page() is a standard DMA API function that requires error checking; function documentation confirms it 'maps a paged fragment via the DMA API',0.4348235130310058
